Country_Code,Country_Name,LP_Year,Learning_Poverty,F5_Internet_Usage,F1_GDP_per_capita,F8_Gender_Parity_Index,F7_Completion_Rate,F3_Pupil_Teacher_Ratio,F6_Net_Enrollment,F2_Gov_Edu_Exp,F4_Stunting_Rate,N1_Under5_Mortality,N2_Adolescent_Fertility,N3_Electricity_Access,N4_Physicians_per_1000,N5_Child_Marriage_Female,G1_Gov_Effectiveness,G2_Corruption_Control,G3_Rule_of_Law,G_AVG_Governance,GDP_Quartile,log_GDP,LP_Predicted_by_GDP,Residual,Deviance_Group
KHM,Cambodia,2019,90.00334930419922,68.92549896,6695.29194763723,0.981125771999359,87.630151233724,41.7035,90.26554,2.1809128340295,21.9,19.1,46.89,95.0,0.211,17.9,-0.305874288082123,-1.29921674728394,-0.819127440452576,-0.8080728252728796,"Q1
(최저소득)",8.809159863991137,67.01959496102452,22.983754343174695,Negative
KOR,"Korea, Rep.",2019,3.2300806045532227,97.41597478,54029.3434990785,0.998160004615784,98.2711029052734,16.28669,97.25516,5.40910005569458,0.9,2.9,0.537,100.0,2.61,1.32,1.40480732917786,0.894088566303253,1.24850225448608,1.1824660499890645,"Q4
(고소득)",10.897282576090193,15.443127149188854,-12.213046544635631,Middle
KWT,Kuwait,2016,51.0825309753418,99.74731125,47777.4012284844,1.15374994277954,80.4330430689574,8.88073,82.63321,5.0262608311279,3.2,8.4,1.576,100.0,2.273,4.24,0.0075402706861496,0.206611827015877,0.341668486595154,0.1852735280990602,"Q3
(중소득)",10.774308029038188,18.48058885148845,32.60194212385335,Negative
LAO,Lao PDR,2019,97.71728515625,64.39800262,8372.15591874407,0.972314178943634,88.83898879882,22.33717,91.46712,1.23375160355741,32.8,30.5,81.654,96.5,0.331,32.7,-0.6432785987854,-0.973836362361908,-0.832905530929565,-0.8166734973589577,"Q1
(최저소득)",9.032666707227165,61.498993399107746,36.218291757142254,Negative
LKA,Sri Lanka,2015,14.806066513061523,51.2,13024.9404319855,1.00074994564056,94.542850980354,21.73735,99.10711,1.82774571561927,10.3,6.1,15.091,100.0,1.136,9.8,-0.25227889418602,-0.383976995944977,-0.0906768143177032,-0.2423109014829,"Q2
(저소득)",9.474621293251072,50.58274966099839,-35.776683147936865,Positive
LSO,Lesotho,2016,96.89913940429688,48.98590088,2595.82951058542,0.951355755329132,66.9579010009766,32.94806,93.31062,7.29011355590957,34.6,61.3,70.642,57.3,0.235,16.4,-0.953606307506561,-0.509478509426117,-0.480017185211182,-0.6477006673812866,"Q1
(최저소득)",7.861661401778843,90.42273293510064,6.476406469196235,Middle
LTU,Lithuania,2021,3.275724411010742,88.50287484,46159.7081733083,1.00065994262695,105.190582275391,13.51703,98.17529,4.25285005569458,1.0,3.4,5.854,100.0,4.466,0.2,1.05012118816376,0.781545519828796,1.26719617843628,1.0329542954762785,"Q3
(중소득)",10.739862579093286,19.331388773376943,-16.0556643623662,Positive
LVA,Latvia,2021,8.437901496887207,92.18791291,37277.7217221317,1.00128996372223,97.5514907836914,11.53684,96.30354,4.3196702003479,0.5,2.8,7.565,100.0,3.398,6.460000000000001,0.696560978889465,0.698113977909088,1.03986096382141,0.8115119735399876,"Q3
(중소득)",10.526151154328312,24.610044264524788,-16.17214276763758,Positive
MAC,"Macao SAR, China",2021,7.189741611480713,89.82640076,104815.20003062,0.978659987449646,89.5238095238095,13.49843,96.39553,3.50183010101318,4.8,4.26,0.465,100.0,3.6774,0.1999999999999999,1.6246332883834842,1.5109273910522458,1.496260666847228,1.543940448760986,"Q4
(고소득)",11.559954078812133,-0.9248071833685003,8.114548794849213,Middle
MAR,Morocco,2021,59.7595329284668,91.0,8915.3515625,0.972779989242554,104.762394206542,26.80065,99.09904,6.02096928801329,14.2,16.3,25.103,100.0,0.74,13.7,-0.0359151102602482,-0.536348581314087,-0.127505928277969,-0.2332565399507681,"Q1
(최저소득)",9.095529964460814,59.94627585790576,-0.18674292943896376,Middle
